,id,call,call p-val,sms,sms p-val,circumplex.arousal,circumplex.arousal p-val,circumplex.valence,circumplex.valence p-val,activity,activity p-val,screen,screen p-val,appCat.builtin,appCat.builtin p-val,appCat.communication,appCat.communication p-val,appCat.entertainment,appCat.entertainment p-val,appCat.other,appCat.other p-val,appCat.social,appCat.social p-val,appCat.unknown,appCat.unknown p-val,appCat.utilities,appCat.utilities p-val,appCat.finance,appCat.finance p-val,appCat.office,appCat.office p-val,appCat.travel,appCat.travel p-val,appCat.weather,appCat.weather p-val,appCat.game,appCat.game p-val
0,AS14.01,-0.17212591533859145,0.34618827495719007,0.38112055942391054,0.1787914119594909,-0.24193831287010853,0.10133307617799465,0.8017234690950918,1.2749283603535496e-11,-0.28088110325696497,0.06162178896875498,-0.283501437043265,0.05913447211716642,-0.22622006194437172,0.13510392356942136,-0.32431961749054455,0.029742165502822757,0.09018721605308978,0.5557456943337429,-0.10304633558231623,0.5005653957780097,-0.4383937625073834,0.0025938520668264933,-0.8605811646427594,0.061167208251072594,0.1399790122592357,0.37064018826711487,0.3320903370887528,0.06331971318224078,-0.1891452454370732,0.6537204383708102,-0.42971618843060305,0.03204416176814917,,,-0.6444682739934462,0.11816637294623474
1,AS14.02,0.0928290144536295,0.5740672203960518,0.05263321899855352,0.8070348003505312,0.2019256058040869,0.2054919836877296,0.7462000883580509,2.14343873603519e-08,0.26756257966071506,0.11464901788182387,0.2443417036620739,0.15718784535193994,0.20881265423045373,0.23595670015473977,0.20011407735508555,0.264172592275154,-0.1712518280394267,0.3655510548038434,0.05665394400767672,0.7661917728648905,0.0418222685199967,0.8202145188443235,,,0.7182249813008956,0.28177501869910443,,,,,-0.303944983629088,0.33681576269550056,,,,
2,AS14.03,0.05625798293371051,0.7597387476154547,0.02128374398368619,0.9310811768490411,0.2743112211905029,0.06205357223679859,0.575379809439423,2.3285913786190238e-05,0.0019902577630582317,0.9895263920236789,-0.2935254077434232,0.0452340174867269,0.027789973062141496,0.8528965116300173,-0.19753103468291364,0.18322330558333697,-0.06379582266667566,0.670093682154759,-0.04634296315820405,0.7570763135804834,-0.2943755776534093,0.7056244223465904,-0.05708352492821499,0.7563184578490388,-0.09276212809343282,0.6892124221413896,-0.11433723736878317,0.5862983092702452,-0.19612102302418086,0.3268796156411339,0.040743779318170775,0.8948619399394379,-0.9999999999999998,,,
3,AS14.05,0.24876062858055092,0.2108558599391953,-0.18696029880841003,0.4881024372563615,0.4678191478892841,0.00041213526978799565,0.8943838542923976,1.8751324932937925e-19,0.2134632181175822,0.13663187786006056,-0.00013771177730531402,0.9992191503725216,0.06280376358712551,0.6615151857463448,-0.03052465797917301,0.8282282914345364,-0.2391963706015188,0.08452905775604654,0.13118879573832584,0.3490928834289062,-0.04584349139375704,0.7968330607935679,0.0344417866724019,0.8373519297497718,-0.3007556094207175,0.052944976631282725,,,,,,,,,,
4,AS14.06,-0.067723177388819,0.7126633917332076,0.5028068145088459,0.167698230849327,0.5942282654429256,1.6803435437574356e-05,0.6984224368821398,9.594017085907012e-08,-0.013033154417533544,0.9322833915161695,-0.11331337322397256,0.46394807959542683,-0.12139178308127875,0.43808149095066895,-0.2660408532702563,0.07732485905667819,0.07666279573704593,0.6166979156117269,-0.10219456566056241,0.509190595436106,0.1632541994786826,0.28392939489123015,,,,,,,-0.1383632847330205,0.5190787604773386,0.21466903056726827,0.2461745419859071,0.05784909454264352,0.8824789513087172,0.22700275672217154,0.5887656767480751
5,AS14.07,-0.020031789128814006,0.9178522585995511,0.31023623975530995,0.1229658155654049,0.42684339660979254,0.0024821168813935067,0.8761858061469879,3.483144187428531e-16,-0.3289849174569627,0.03570737611407155,0.22534372613528497,0.12777313667601886,0.13721006555113188,0.35773215717948026,0.13079094965224794,0.3808749022253213,0.01947618566469152,0.9001411622201358,0.1478394622695117,0.3213403257449754,0.10302105989794089,0.490763237572291,0.36218324786138967,0.15311343591634724,-0.1013312456835727,0.8288565521103606,,,,,0.026225575655297113,0.9077729919539079,,,,
6,AS14.08,0.45171737070423984,0.3089224283961728,0.10125294677941328,0.7090596197619883,0.38320743223822284,0.0021103125344206024,0.8273760427558182,1.1430095179447676e-16,0.16057169297327775,0.26530391138037085,0.12780006550291906,0.35707955711091044,-0.10686753673275026,0.4508115330605642,-0.09461503158682479,0.4961650788797889,0.00019815296664696256,0.9991558951693124,0.012456986528051888,0.9287630094320696,-0.18818179374406102,0.17297673633823907,-0.45428990297273336,0.258145490965246,0.020282349294599,0.9137596164817084,,,-0.19698864475538394,0.7083390583764928,0.1852994058659163,0.8147005941340839,,,,
7,AS14.09,0.17821576454319765,0.41588944470551514,0.1809793265271659,0.5735070116629508,0.15659612644337692,0.29867156571099746,0.8446869616740422,1.6003250223554712e-13,0.6371885857716302,2.92942222822148e-05,0.5087036917990716,0.001304545401240518,0.20977078307150837,0.21947563856064367,0.4501896189678614,0.0051763514280715175,0.079008835886224,0.642057016303094,0.37464740107141875,0.026595033332106305,0.23017367832823898,0.2579669604506823,0.22933954896918463,0.4733625869900025,0.2888667447195467,0.2040919813985109,0.08974537968276454,0.6988567718594679,-0.2335317991349845,0.4022139465763062,0.3685325064077633,0.09147448818840555,-0.3044182616515063,0.3924401640633324,-1.0,0.0
8,AS14.12,0.22566652426115166,0.21428517348797246,0.39843869532493864,0.288165836198995,0.04137443520002957,0.7973002434363358,0.8084204052662642,1.6356200674580539e-10,-0.06693269985885116,0.6815442050491909,-0.1006004784463974,0.5368075242797387,-0.26780298138680614,0.09478112507648886,0.013452130555601672,0.9343409337251402,-0.05671235149425738,0.7281506668969248,0.28151598067306965,0.07844336457934198,-0.17514103341794704,0.27972097425554737,,,-0.2818995551342985,0.22854000595082227,-0.25363712369219105,0.2947399089225716,-0.21772813016051834,0.35645349229818024,0.21036478309282683,0.2559996403253523,-0.5563555179994741,0.6243985518471391,-0.05433232752155924,0.8895870147335465
9,AS14.13,0.022618992015122814,0.9290138596540933,0.2186238749131518,0.4159487284882979,0.03275480712500578,0.8158895992527064,0.8248630978986168,3.114415355046296e-14,0.2689908991059506,0.07745951567587867,0.2972017697728049,0.03238214393002509,0.02719932760356866,0.8482086320743518,0.1740244920177923,0.2172612764621547,0.31756441186922835,0.08171029994117723,0.01684409214247459,0.9066088696890754,0.1520907907676861,0.28176700558551043,-0.015378200220714643,0.9738962433512107,0.27073095763789584,0.6038252103472576,,,-0.3223030573071892,0.28283031904138567,0.14159017032211643,0.5877719021840343,,,,
10,AS14.14,-0.18871896248325928,0.5181925482773643,-0.12070979516801651,0.7397612763556349,0.12069158819584751,0.4351618548848427,0.742496494671477,7.95032552894393e-09,0.019180656293508104,0.9028349868964384,-0.432809256036118,0.0037459283231327635,-0.15898900375421982,0.30851876925545874,-0.3215771219208944,0.040341616122001586,-0.5301721687870046,0.17649703142601555,-0.1645695477794863,0.29162370286187,-0.42946262903165033,0.028559928546314346,,,,,-0.34999087601766066,0.3214851125679796,-0.9383163958858721,0.2247698620398229,-0.7712448008869027,0.042312976500387386,,,,
11,AS14.15,0.13934832967625763,0.3787878929845989,0.2623582009173381,0.3648558494466922,0.2680194102875967,0.047884708364984846,0.8357804729886567,2.0526851584577066e-15,0.2740123039790059,0.06235010296592848,0.23478896514561762,0.13950557491163748,0.1730642934658644,0.279220126378003,0.25570950685772637,0.13817185268616466,-0.2887205127073733,0.7112794872926262,0.16176870586652128,0.43979282467086256,0.24997694448093633,0.48608357976410516,,,,,,,-0.5651502109893844,0.08867605074787532,-0.04039155307893913,0.9596084469210601,,,,
12,AS14.16,0.19285804186287928,0.28223960337962506,-0.050990468252069335,0.7853042755757899,0.2957516835859742,0.03154590064222875,0.7313608566034447,4.985749423543484e-10,-0.2304540283397296,0.11114683284782542,-0.168817314202488,0.23632161872620056,-0.00594462977378709,0.9669761981037945,-0.009713409089537876,0.9489161117123125,-0.2558029932716054,0.21713021709338565,-0.01257299471292574,0.9483875642462312,-0.03863107933913531,0.8309827551925132,,,-1.0,0.0,0.30377605710857425,0.2710166533796302,,,0.906230930292196,0.2778935299602785,-1.0,0.0,,
